"date","time","account","text"
"2024-12-10","09:56:02","長岡 健@TakeruNagaoka","経営組織論（第12回）「アンラーニング」#mgtorg2024おはようございます。寒い朝ですが、冬の冷気は気持ちにスイッチを入れてくれます。ぬくぬく過ごす猫たちに「行ってきます！」とつげて、私は市ヶ谷に向かいます。

温かい飲み物を用意して、さあ今日も楽しく学ぼう！pic.x.com/uDrm3jfLIs"
"2024-12-10","10:38:58","まる@oDApfas7DPvsAp3","おはようございます☀️
先週に比べてグッと寒くなった！？❄️
寒さに負けずに今日も頑張る！！教室は暖かい！笑#mgtorg2024"
"2024-12-10","10:42:42","プロガムラー@googlevsapplevs","家族全員風邪なので
家で大人しくzoomで見てます#mgtorg2024"
"2024-12-10","10:43:41","けいたつ I 若者の機会損失をゼロにする@_kk_marumaru","今日は色々ありネカフェからの参加です😇#mgtorg2024"
"2024-12-10","10:43:55","味噌ラーメン@yuta_mgtorg2024","過去最大に眠いけど授業に出たこと…(苦笑)#mgtorg2024#GandN"
"2024-12-10","10:45:37","けいたつ I 若者の機会損失をゼロにする@_kk_marumaru","新しい服を買って友達に褒められたのでハッピーハッピーハーッピーです🐱#mgtorg2024"
"2024-12-10","10:45:45","まる@oDApfas7DPvsAp3","昨日、ずっと目をつけていた焼き鳥屋さんに行きました！！焼き鳥ももちろん美味しかったけど、豚バラの串カツ(？)が大優勝でした！！美味しかった！！あと鶏茶漬けも美味しかった！！#mgtorg2024#GandN"
"2024-12-10","10:46:50","味噌ラーメン@yuta_mgtorg2024","もう今年も終わりですね…
今年どころか大学生活3/4終わるんですね…(震え)#mgtorg2024"
"2024-12-10","10:47:20","ペパーミント@If8Rywjdt","雲丹プリン食べた#mgtorg2024#GandNpic.x.com/tU5u85pxXB"
"2024-12-10","10:49:02","まめきち@mamekiti_hamham","香川県三豊市のもりうどん#mgtorg2024pic.x.com/XxOpS5qJZA"
"2024-12-10","10:49:18","あもーれ@1sfzWkHIGu6XdGs","気を引き締めたり、気分を切り替えたりする場って自分だけだと意外と作れない。どうしても予定調和っぽくなる。そこからズレるためにはやっぱり人に会うってのが大事なんだろうな。#mgtorg2024"
"2024-12-10","10:49:20","しずの@ofRKrrWtqa87140","何もないような…と思ったけど、ゲームとか何やらやりながら、時間かけて作った鶏ハムが美味しかったのは良かったかな？#mgtorg2024#GandN"
"2024-12-10","10:49:40","harunchu@hamunin331","一年間あっという間すぎる#mgtorg2024"
"2024-12-10","10:50:01","noir@hoseinoir","#mgtorg2024意識の長いトンネルを抜けるとそこは駅の救護室であった………………"
"2024-12-10","10:51:01","ボウルサラダボウル@SiTiMiY4_ch","#mgtorg2024エアコン苦手！
最近こたつにハマってますよ〜"
"2024-12-10","10:51:51","けいたつ I 若者の機会損失をゼロにする@_kk_marumaru","炎上系ツイッタラーになっちゃおうかな😈#mgtorg2024"
"2024-12-10","10:52:02","プロガムラー@googlevsapplevs","パジャマで受ける授業
めっちゃ心地いい#mgtorg2024"
"2024-12-10","10:52:19","ボウルサラダボウル@SiTiMiY4_ch","#mgtorg2024「冗談」が見たい人は、ララチューブのマネタクと西田の彼女が寝てみたを見ましょう😊"
"2024-12-10","10:54:05","あもーれ@1sfzWkHIGu6XdGs","コスパを考えるにあたって、そもそも「パフォーマンス」がなんなのかを意識することも大切なのかもしれない。その「パフォーマンス」は本当に意味があるのか？#mgtorg2024"
"2024-12-10","10:54:05","まめきち@mamekiti_hamham","今日はなんかぼーっとしちゃう感じだから、グラレコとかしながら受けてみようかな🏠#mgtorg2024"
"2024-12-10","10:54:11","こんぺい@yu813508346040","昨日横浜中華街で食べたお粥が美味しすぎた！はじめてお店でお粥食べたけど、家で作るのと違う！😋#mgtorg2024#GandNpic.x.com/2gi6Tu2bc8"
"2024-12-10","10:55:34","プロガムラー@googlevsapplevs","先月まで映画館で上映してたけど
今月から早くもアマプラで観れるから
観て欲しい#mgtorg2024pic.x.com/MReaOIXaoi"
"2024-12-10","10:56:56","あもーれ@1sfzWkHIGu6XdGs","スタバの話めっちゃわかる。Tallってそんな厳密に量決まってないんだ…！って思う。むしろ日常のランダマイザとして面白いけどね。#mgtorg2024"
"2024-12-10","10:57:46","プロガムラー@googlevsapplevs","就活エージェントの鬼電半端ない#mgtorg2024"
"2024-12-10","10:59:27","さとう@i029460965472","ナレッジワーカー、再現性のない仕事
今や聞き慣れたけどこの授業履修してなかったら一生出会わなかった概念かも#mgtorg2024"
"2024-12-10","11:00:26","あもーれ@1sfzWkHIGu6XdGs","懐かしいなぁ。傾向と対策。#mgtorg2024"
"2024-12-10","11:01:41","まる@oDApfas7DPvsAp3","焦らず長く頑張る
すぐには成長しない#mgtorg2024"
"2024-12-10","11:01:49","味噌ラーメン@yuta_mgtorg2024","頑張るけど、長く走り続けるためには頑張りすぎない#mgtorg2024"
"2024-12-10","11:02:41","プロガムラー@googlevsapplevs","気づいたら10年経ってたくらいの
ルーティンみたいのにするのがいい#mgtorg2024"
"2024-12-10","11:02:48","味噌ラーメン@yuta_mgtorg2024","一夜漬けみたいに短期的なことは頑張りすぎてもどうにかなるかもしれないけど、 長期的なことは頑張りすぎないことも大事？#mgtorg2024"
"2024-12-10","11:03:06","あもーれ@1sfzWkHIGu6XdGs","大切なのは正しいフォーム。とはいえ、体や心のクセは人それぞれだから、誰かのを真似したり、試行錯誤したりしながら、自分なりのフォーム（マイセオリー）を見つける。それを大学で少しでも掴めたらいいなと思う。#mgtorg2024"
"2024-12-10","11:04:30","上腕三頭筋@jo13tokin","スポーツよりも適応大事なのか！#mgtorg2024"
"2024-12-10","11:04:40","まる@oDApfas7DPvsAp3","陸上はこの人に負けたくない！はもちろんあるけど、自分がどれだけタイムを縮められるかの戦い。
バスケはその時その時の状況に合わせて、プレーは変わるし、臨機応変が求められる。

ビジネスは更に変化に適応することが大事！#mgtorg2024"
"2024-12-10","11:05:35","上腕三頭筋@jo13tokin","仕事は！#mgtorg2024"
"2024-12-10","11:05:44","ボウルサラダボウル@SiTiMiY4_ch","#mgtorg2024業界にもよるんだけど、トレンドが変わるの早いからより判断力が求められる気がするし、応用力も基礎力も成長が必要な気がしている💪"
"2024-12-10","11:05:54","やや@afvvfxcgrec","寒いので日光にあたりながら授業受けてます。#mgtorg2024"
"2024-12-10","11:06:11","harunchu@hamunin331","トライすれば何かしら結果が出る#mgtorg2024"
"2024-12-10","11:06:44","プロガムラー@googlevsapplevs","8月から就活とか社会人になったら役立つと思って、コールセンターのバイト始めた。
最初はマニュアルでスクリプト通り読んでたからイレギュラーな時に対応がぎこちなくなってた 。
今は3ヶ月経ってそれぞれのお客さんに臨機応変な対応することが出来てる。
これが熟達化か#mgtorg2024"
"2024-12-10","11:07:40","まる@oDApfas7DPvsAp3","まずはとりあえずやってみることから

カフェゼミ準備の時もそうだったけど、頭ですごく考えてイメージできてても、実際にやってみると「あれ、ここってどうすれば！？」みたいなのがたくさん出てくる。
だから、実際にやってみるってすごく大事。#mgtorg2024"
"2024-12-10","11:07:49","ペパーミント@If8Rywjdt","自分の経験から自分なりの知識を作る！
実践して終わり！じゃだめ。#mgtorg2024"
"2024-12-10","11:07:51","こんぺい@yu813508346040","経験したときの事実だけを詳細に記憶するのではなく、そのときどう感じたか、どう考えたかも細かく言語化することを忘れないようにしたい！
この前のカフェゼミで気づいたこと！#mgtorg2024"
"2024-12-10","11:08:37","味噌ラーメン@yuta_mgtorg2024","経験学習はやり終わった後の方が大事#mgtorg2024"
"2024-12-10","11:09:16","やや@afvvfxcgrec","自分はストレッチ経験があるかなと振り返ってみたけどあまりストレッチ経験できてないと思った。#mgtorg2024"
